obj,label,input,tar
a,"['m', 'ax', 'j', 'o', 'r']","['m', 'a', 'j', 'o', 'r']",ax
s,"['sz', 't', 'a', 'r']","['s', 't', 'a', 'r']",sz
e,"['a', 'r', 'er', 'a', 's']","['a', 'r', 'e', 'a', 's']",er
r,"['f', 'u', 't', 'u', 'ru', 'e']","['f', 'u', 't', 'u', 'r', 'e']",ru
a,"['s', 'p', 'az', 'c', 'e']","['s', 'p', 'a', 'c', 'e']",az
m,"['c', 'o', 'mh', 'mh', 'i', 't', 't', 'e', 'e']","['c', 'o', 'm', 'm', 'i', 't', 't', 'e', 'e']",mh
n,"['h', 'a', 'ns', 'd']","['h', 'a', 'n', 'd']",ns
s,"['sg', 'u', 'n']","['s', 'u', 'n']",sg
r,"['c', 'a', 'rv', 'd', 's']","['c', 'a', 'r', 'd', 's']",rv
m,"['p', 'r', 'o', 'b', 'l', 'e', 'me', 's']","['p', 'r', 'o', 'b', 'l', 'e', 'm', 's']",me
d,"['l', 'o', 'n', 'ds', 'o', 'n']","['l', 'o', 'n', 'd', 'o', 'n']",ds
o,"['w', 'a', 's', 'h', 'i', 'n', 'g', 't', 'om', 'n']","['w', 'a', 's', 'h', 'i', 'n', 'g', 't', 'o', 'n']",om
i,"['m', 'e', 'e', 't', 'ih', 'n', 'g']","['m', 'e', 'e', 't', 'i', 'n', 'g']",ih
r,"['rx', 's', 's']","['r', 's', 's']",rx
m,"['b', 'e', 'c', 'o', 'mj', 'e']","['b', 'e', 'c', 'o', 'm', 'e']",mj
r,"['i', 'n', 't', 'e', 'rs', 'e', 's', 't']","['i', 'n', 't', 'e', 'r', 'e', 's', 't']",rs
d,"['c', 'h', 'i', 'l', 'de']","['c', 'h', 'i', 'l', 'd']",de
e,"['k', 'er', 'er', 'p']","['k', 'e', 'e', 'p']",er
r,"['e', 'n', 't', 'e', 'rk']","['e', 'n', 't', 'e', 'r']",rk
i,"['c', 'a', 'l', 'ij', 'f', 'o', 'r', 'n', 'ij', 'a']","['c', 'a', 'l', 'i', 'f', 'o', 'r', 'n', 'i', 'a']",ij
r,"['p', 'o', 'rc', 'n']","['p', 'o', 'r', 'n']",rc
e,"['s', 'h', 'a', 'r', 'eu']","['s', 'h', 'a', 'r', 'e']",eu
s,"['sl', 'i', 'm', 'i', 'l', 'a', 'r']","['s', 'i', 'm', 'i', 'l', 'a', 'r']",sl
e,"['g', 'a', 'r', 'd', 'en', 'n']","['g', 'a', 'r', 'd', 'e', 'n']",en
l,"['s', 'c', 'h', 'o', 'o', 'li', 's']","['s', 'c', 'h', 'o', 'o', 'l', 's']",li
l,"['m', 'i', 'ly', 'ly', 'i', 'o', 'n']","['m', 'i', 'l', 'l', 'i', 'o', 'n']",ly
d,"['a', 'dz', 'dz', 'e', 'dz']","['a', 'd', 'd', 'e', 'd']",dz
e,"['r', 'er', 'f', 'er', 'r', 'er', 'n', 'c', 'er']","['r', 'e', 'f', 'e', 'r', 'e', 'n', 'c', 'e']",er
m,"['c', 'o', 'mu', 'p', 'a', 'n', 'i', 'e', 's']","['c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's']",mu
s,"['l', 'i', 'sa', 't', 'e', 'd']","['l', 'i', 's', 't', 'e', 'd']",sa
a,"['b', 'as', 'b', 'y']","['b', 'a', 'b', 'y']",as
i,"['l', 'e', 'a', 'r', 'n', 'iy', 'n', 'g']","['l', 'e', 'a', 'r', 'n', 'i', 'n', 'g']",iy
n,"['e', 'nv', 'e', 'r', 'g', 'y']","['e', 'n', 'e', 'r', 'g', 'y']",nv
n,"['r', 'u', 'np']","['r', 'u', 'n']",np
r,"['d', 'e', 'l', 'i', 'v', 'e', 'ri', 'y']","['d', 'e', 'l', 'i', 'v', 'e', 'r', 'y']",ri
n,"['nf', 'e', 't']","['n', 'e', 't']",nf
r,"['p', 'o', 'p', 'u', 'l', 'a', 'rv']","['p', 'o', 'p', 'u', 'l', 'a', 'r']",rv
m,"['t', 'e', 'r', 'mm']","['t', 'e', 'r', 'm']",mm
m,"['f', 'i', 'l', 'mq']","['f', 'i', 'l', 'm']",mq
s,"['sv', 't', 'o', 'r', 'i', 'e', 'sv']","['s', 't', 'o', 'r', 'i', 'e', 's']",sv
t,"['p', 'u', 'tw']","['p', 'u', 't']",tw
p,"['c', 'o', 'm', 'pv', 'u', 't', 'e', 'r', 's']","['c', 'o', 'm', 'p', 'u', 't', 'e', 'r', 's']",pv
u,"['j', 'o', 'ua', 'r', 'n', 'a', 'l']","['j', 'o', 'u', 'r', 'n', 'a', 'l']",ua
e,"['r', 'ea', 'p', 'o', 'r', 't', 's']","['r', 'e', 'p', 'o', 'r', 't', 's']",ea
t,"['tr', 'r', 'y']","['t', 'r', 'y']",tr
e,"['w', 'ec', 'l', 'c', 'o', 'm', 'ec']","['w', 'e', 'l', 'c', 'o', 'm', 'e']",ec
t,"['c', 'e', 'n', 'th', 'r', 'a', 'l']","['c', 'e', 'n', 't', 'r', 'a', 'l']",th
g,"['i', 'm', 'a', 'gn', 'e', 's']","['i', 'm', 'a', 'g', 'e', 's']",gn
n,"['p', 'r', 'e', 's', 'i', 'd', 'e', 'ne', 't']","['p', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't']",ne
e,"['n', 'o', 't', 'i', 'c', 'ew']","['n', 'o', 't', 'i', 'c', 'e']",ew
d,"['g', 'o', 'dk']","['g', 'o', 'd']",dk
g,"['o', 'r', 'i', 'gn', 'i', 'n', 'a', 'l']","['o', 'r', 'i', 'g', 'i', 'n', 'a', 'l']",gn
d,"['h', 'e', 'a', 'du']","['h', 'e', 'a', 'd']",du
o,"['r', 'a', 'd', 'i', 'on']","['r', 'a', 'd', 'i', 'o']",on
n,"['u', 'nt', 't', 'i', 'l']","['u', 'n', 't', 'i', 'l']",nt
l,"['c', 'e', 'lr', 'lr']","['c', 'e', 'l', 'l']",lr
r,"['c', 'o', 'l', 'o', 'rv']","['c', 'o', 'l', 'o', 'r']",rv
s,"['st', 'e', 'l', 'f']","['s', 'e', 'l', 'f']",st
l,"['c', 'o', 'u', 'n', 'c', 'i', 'la']","['c', 'o', 'u', 'n', 'c', 'i', 'l']",la
w,"['a', 'wk', 'a', 'y']","['a', 'w', 'a', 'y']",wk
i,"['io', 'n', 'c', 'l', 'u', 'd', 'e', 's']","['i', 'n', 'c', 'l', 'u', 'd', 'e', 's']",io
k,"['t', 'r', 'a', 'c', 'kk']","['t', 'r', 'a', 'c', 'k']",kk
l,"['a', 'u', 's', 't', 'r', 'a', 'lz', 'i', 'a']","['a', 'u', 's', 't', 'r', 'a', 'l', 'i', 'a']",lz
d,"['du', 'i', 's', 'c', 'u', 's', 's', 'i', 'o', 'n']","['d', 'i', 's', 'c', 'u', 's', 's', 'i', 'o', 'n']",du
a,"['aw', 'r', 'c', 'h', 'i', 'v', 'e']","['a', 'r', 'c', 'h', 'i', 'v', 'e']",aw
e,"['o', 'n', 'c', 'ew']","['o', 'n', 'c', 'e']",ew
t,"['o', 'tm', 'h', 'e', 'r', 's']","['o', 't', 'h', 'e', 'r', 's']",tm
t,"['e', 'n', 'td', 'e', 'r', 'td', 'a', 'i', 'n', 'm', 'e', 'n', 'td']","['e', 'n', 't', 'e', 'r', 't', 'a', 'i', 'n', 'm', 'e', 'n', 't']",td
g,"['a', 'gg', 'r', 'e', 'e', 'm', 'e', 'n', 't']","['a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't']",gg
a,"['f', 'o', 'r', 'm', 'as', 't']","['f', 'o', 'r', 'm', 'a', 't']",as
s,"['l', 'e', 'a', 'sa', 't']","['l', 'e', 'a', 's', 't']",sa
c,"['s', 'o', 'cj', 'i', 'e', 't', 'y']","['s', 'o', 'c', 'i', 'e', 't', 'y']",cj
n,"['m', 'o', 'ne', 't', 'h', 's']","['m', 'o', 'n', 't', 'h', 's']",ne
o,"['l', 'od', 'g']","['l', 'o', 'g']",od
f,"['s', 'a', 'fh', 'e', 't', 'y']","['s', 'a', 'f', 'e', 't', 'y']",fh
d,"['f', 'r', 'i', 'e', 'n', 'db', 's']","['f', 'r', 'i', 'e', 'n', 'd', 's']",db
e,"['s', 'u', 'r', 'ei']","['s', 'u', 'r', 'e']",ei
q,"['f', 'a', 'qx']","['f', 'a', 'q']",qx
t,"['tr', 'r', 'a', 'd', 'e']","['t', 'r', 'a', 'd', 'e']",tr
n,"['e', 'd', 'i', 't', 'i', 'o', 'nr']","['e', 'd', 'i', 't', 'i', 'o', 'n']",nr
c,"['cs', 'a', 'r', 's']","['c', 'a', 'r', 's']",cs
a,"['m', 'e', 's', 's', 'aw', 'g', 'e', 's']","['m', 'e', 's', 's', 'a', 'g', 'e', 's']",aw
m,"['mh', 'a', 'r', 'k', 'e', 't', 'i', 'n', 'g']","['m', 'a', 'r', 'k', 'e', 't', 'i', 'n', 'g']",mh
l,"['t', 'e', 'ld', 'ld']","['t', 'e', 'l', 'l']",ld
e,"['f', 'u', 'r', 't', 'h', 'el', 'r']","['f', 'u', 'r', 't', 'h', 'e', 'r']",el
p,"['u', 'pu', 'd', 'a', 't', 'e', 'd']","['u', 'p', 'd', 'a', 't', 'e', 'd']",pu
c,"['a', 's', 's', 'o', 'cf', 'i', 'a', 't', 'i', 'o', 'n']","['a', 's', 's', 'o', 'c', 'i', 'a', 't', 'i', 'o', 'n']",cf
l,"['a', 'b', 'li', 'e']","['a', 'b', 'l', 'e']",li
g,"['h', 'a', 'v', 'i', 'n', 'gp']","['h', 'a', 'v', 'i', 'n', 'g']",gp
i,"['p', 'r', 'o', 'v', 'is', 'd', 'e', 's']","['p', 'r', 'o', 'v', 'i', 'd', 'e', 's']",is
d,"['dn', 'a', 'v', 'i', 'dn']","['d', 'a', 'v', 'i', 'd']",dn
n,"['f', 'u', 'ny']","['f', 'u', 'n']",ny
l,"['a', 'lc', 'r', 'e', 'a', 'd', 'y']","['a', 'l', 'r', 'e', 'a', 'd', 'y']",lc
g,"['ga', 'r', 'e', 'e', 'n']","['g', 'r', 'e', 'e', 'n']",ga
t,"['s', 'to', 'u', 'd', 'i', 'e', 's']","['s', 't', 'u', 'd', 'i', 'e', 's']",to
l,"['c', 'lb', 'o', 's', 'e']","['c', 'l', 'o', 's', 'e']",lb
o,"['c', 'oh', 'm', 'm', 'oh', 'n']","['c', 'o', 'm', 'm', 'o', 'n']",oh
v,"['d', 'r', 'i', 'vv', 'e']","['d', 'r', 'i', 'v', 'e']",vv
p,"['s', 'ps', 'e', 'c', 'i', 'f', 'i', 'c']","['s', 'p', 'e', 'c', 'i', 'f', 'i', 'c']",ps
l,"['s', 'e', 'v', 'e', 'r', 'a', 'lm']","['s', 'e', 'v', 'e', 'r', 'a', 'l']",lm
o,"['g', 'oz', 'l', 'd']","['g', 'o', 'l', 'd']",oz
f,"['fg', 'e', 'b']","['f', 'e', 'b']",fg
i,"['l', 'it', 'v', 'it', 'n', 'g']","['l', 'i', 'v', 'i', 'n', 'g']",it
s,"['se', 'e', 'p']","['s', 'e', 'p']",se
i,"['c', 'o', 'l', 'l', 'e', 'c', 't', 'ip', 'o', 'n']","['c', 'o', 'l', 'l', 'e', 'c', 't', 'i', 'o', 'n']",ip
e,"['c', 'a', 'l', 'l', 'et', 'd']","['c', 'a', 'l', 'l', 'e', 'd']",et
t,"['s', 'h', 'o', 'r', 'tm']","['s', 'h', 'o', 'r', 't']",tm
s,"['a', 'r', 't', 'sm']","['a', 'r', 't', 's']",sm
t,"['l', 'o', 'ty']","['l', 'o', 't']",ty
s,"['a', 'sn', 'k']","['a', 's', 'k']",sn
d,"['dw', 'i', 's', 'p', 'l', 'a', 'y']","['d', 'i', 's', 'p', 'l', 'a', 'y']",dw
e,"['l', 'i', 'm', 'i', 't', 'ep', 'd']","['l', 'i', 'm', 'i', 't', 'e', 'd']",ep
p,"['pa', 'o', 'w', 'e', 'r', 'e', 'd']","['p', 'o', 'w', 'e', 'r', 'e', 'd']",pa
u,"['s', 'o', 'l', 'uf', 't', 'i', 'o', 'n', 's']","['s', 'o', 'l', 'u', 't', 'i', 'o', 'n', 's']",uf
m,"['mz', 'e', 'a', 'n', 's']","['m', 'e', 'a', 'n', 's']",mz
r,"['d', 'i', 'rj', 'e', 'c', 't', 'o', 'rj']","['d', 'i', 'r', 'e', 'c', 't', 'o', 'r']",rj
l,"['d', 'a', 'i', 'lb', 'y']","['d', 'a', 'i', 'l', 'y']",lb
h,"['b', 'e', 'a', 'c', 'hm']","['b', 'e', 'a', 'c', 'h']",hm
t,"['p', 'a', 's', 'tq']","['p', 'a', 's', 't']",tq
l,"['n', 'a', 't', 'u', 'r', 'a', 'le']","['n', 'a', 't', 'u', 'r', 'a', 'l']",le
w,"['ws', 'h', 'e', 't', 'h', 'e', 'r']","['w', 'h', 'e', 't', 'h', 'e', 'r']",ws
u,"['d', 'ue', 'e']","['d', 'u', 'e']",ue
e,"['ew', 'l', 'ew', 'c', 't', 'r', 'o', 'n', 'i', 'c', 's']","['e', 'l', 'e', 'c', 't', 'r', 'o', 'n', 'i', 'c', 's']",ew
i,"['f', 'ia', 'v', 'e']","['f', 'i', 'v', 'e']",ia
p,"['u', 'ph', 'o', 'n']","['u', 'p', 'o', 'n']",ph
e,"['p', 'ev', 'r', 'i', 'o', 'd']","['p', 'e', 'r', 'i', 'o', 'd']",ev
i,"['p', 'l', 'a', 'n', 'n', 'in', 'n', 'g']","['p', 'l', 'a', 'n', 'n', 'i', 'n', 'g']",in
s,"['d', 'a', 't', 'a', 'b', 'a', 'st', 'e']","['d', 'a', 't', 'a', 'b', 'a', 's', 'e']",st
s,"['sk', 'a', 'y', 'sk']","['s', 'a', 'y', 's']",sk
o,"['oc', 'f', 'f', 'i', 'c', 'i', 'a', 'l']","['o', 'f', 'f', 'i', 'c', 'i', 'a', 'l']",oc
h,"['w', 'e', 'a', 't', 'hu', 'e', 'r']","['w', 'e', 'a', 't', 'h', 'e', 'r']",hu
r,"['m', 'a', 'rv']","['m', 'a', 'r']",rv
l,"['ls', 'a', 'n', 'd']","['l', 'a', 'n', 'd']",ls
e,"['a', 'v', 'ei', 'r', 'a', 'g', 'ei']","['a', 'v', 'e', 'r', 'a', 'g', 'e']",ei
n,"['d', 'o', 'nh', 'e']","['d', 'o', 'n', 'e']",nh
t,"['ts', 'e', 'c', 'h', 'n', 'i', 'c', 'a', 'l']","['t', 'e', 'c', 'h', 'n', 'i', 'c', 'a', 'l']",ts
n,"['w', 'i', 'ne', 'd', 'o', 'w']","['w', 'i', 'n', 'd', 'o', 'w']",ne
c,"['f', 'r', 'a', 'n', 'co', 'e']","['f', 'r', 'a', 'n', 'c', 'e']",co
r,"['p', 'rv', 'o']","['p', 'r', 'o']",rv
g,"['r', 'e', 'gw', 'i', 'o', 'n']","['r', 'e', 'g', 'i', 'o', 'n']",gw
a,"['i', 's', 'l', 'aa', 'n', 'd']","['i', 's', 'l', 'a', 'n', 'd']",aa
o,"['r', 'e', 'c', 'oj', 'r', 'd']","['r', 'e', 'c', 'o', 'r', 'd']",oj
i,"['d', 'iw', 'r', 'e', 'c', 't']","['d', 'i', 'r', 'e', 'c', 't']",iw
m,"['mq', 'i', 'c', 'r', 'o', 's', 'o', 'f', 't']","['m', 'i', 'c', 'r', 'o', 's', 'o', 'f', 't']",mq
o,"['c', 'og', 'n', 'f', 'e', 'r', 'e', 'n', 'c', 'e']","['c', 'o', 'n', 'f', 'e', 'r', 'e', 'n', 'c', 'e']",og
t,"['e', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 'tp']","['e', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 't']",tp
d,"['r', 'e', 'c', 'o', 'r', 'db', 's']","['r', 'e', 'c', 'o', 'r', 'd', 's']",db
s,"['d', 'i', 'sx', 't', 'r', 'i', 'c', 't']","['d', 'i', 's', 't', 'r', 'i', 'c', 't']",sx
c,"['cu', 'a', 'l', 'e', 'n', 'd', 'a', 'r']","['c', 'a', 'l', 'e', 'n', 'd', 'a', 'r']",cu
c,"['ce', 'o', 's', 't', 's']","['c', 'o', 's', 't', 's']",ce
e,"['s', 't', 'y', 'l', 'eb']","['s', 't', 'y', 'l', 'e']",eb
u,"['ui', 'r', 'l']","['u', 'r', 'l']",ui
o,"['f', 'r', 'oj', 'n', 't']","['f', 'r', 'o', 'n', 't']",oj
t,"['s', 'tp', 'a', 'tp', 'e', 'm', 'e', 'n', 'tp']","['s', 't', 'a', 't', 'e', 'm', 'e', 'n', 't']",tp
d,"['u', 'p', 'dz', 'a', 't', 'e']","['u', 'p', 'd', 'a', 't', 'e']",dz
p,"['pd', 'a', 'r', 't', 's']","['p', 'a', 'r', 't', 's']",pd
a,"['ap', 'u', 'g']","['a', 'u', 'g']",ap
e,"['eb', 'v', 'eb', 'r']","['e', 'v', 'e', 'r']",eb
o,"['d', 'ov', 'w', 'n', 'l', 'ov', 'a', 'd', 's']","['d', 'o', 'w', 'n', 'l', 'o', 'a', 'd', 's']",ov
e,"['eq', 'a', 'r', 'l', 'y']","['e', 'a', 'r', 'l', 'y']",eq
l,"['m', 'i', 'ls', 'e', 's']","['m', 'i', 'l', 'e', 's']",ls
u,"['s', 'o', 'un', 'n', 'd']","['s', 'o', 'u', 'n', 'd']",un
u,"['r', 'e', 's', 'o', 'uk', 'r', 'c', 'e']","['r', 'e', 's', 'o', 'u', 'r', 'c', 'e']",uk
p,"['pf', 'r', 'e', 's', 'e', 'n', 't']","['p', 'r', 'e', 's', 'e', 'n', 't']",pf
p,"['a', 'pm', 'pm', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', 's']","['a', 'p', 'p', 'l', 'i', 'c', 'a', 't', 'i', 'o', 'n', 's']",pm
t,"['e', 'i', 'to', 'h', 'e', 'r']","['e', 'i', 't', 'h', 'e', 'r']",to
o,"['a', 'g', 'og']","['a', 'g', 'o']",og
d,"['du', 'o', 'c', 'u', 'm', 'e', 'n', 't']","['d', 'o', 'c', 'u', 'm', 'e', 'n', 't']",du
d,"['w', 'o', 'r', 'dn']","['w', 'o', 'r', 'd']",dn
w,"['wb', 'o', 'r', 'k', 's']","['w', 'o', 'r', 'k', 's']",wb
t,"['m', 'a', 'ta', 'e', 'r', 'i', 'a', 'l']","['m', 'a', 't', 'e', 'r', 'i', 'a', 'l']",ta
i,"['b', 'iu', 'l', 'l']","['b', 'i', 'l', 'l']",iu
a,"['au', 'p', 'r']","['a', 'p', 'r']",au
n,"['w', 'r', 'i', 't', 't', 'e', 'ny']","['w', 'r', 'i', 't', 't', 'e', 'n']",ny
k,"['t', 'a', 'l', 'kw']","['t', 'a', 'l', 'k']",kw
f,"['fe', 'e', 'd', 'e', 'r', 'a', 'l']","['f', 'e', 'd', 'e', 'r', 'a', 'l']",fe
t,"['h', 'o', 's', 'tp', 'i', 'n', 'g']","['h', 'o', 's', 't', 'i', 'n', 'g']",tp
r,"['rj', 'u', 'l', 'e', 's']","['r', 'u', 'l', 'e', 's']",rj
a,"['f', 'i', 'n', 'ax', 'l']","['f', 'i', 'n', 'a', 'l']",ax
t,"['a', 'd', 'u', 'l', 'to']","['a', 'd', 'u', 'l', 't']",to
e,"['t', 'i', 'c', 'k', 'ew', 't', 's']","['t', 'i', 'c', 'k', 'e', 't', 's']",ew
i,"['t', 'h', 'io', 'n', 'g']","['t', 'h', 'i', 'n', 'g']",io
n,"['c', 'e', 'ns', 't', 'r', 'e']","['c', 'e', 'n', 't', 'r', 'e']",ns
t,"['r', 'e', 'q', 'u', 'i', 'r', 'e', 'm', 'e', 'n', 'tq', 's']","['r', 'e', 'q', 'u', 'i', 'r', 'e', 'm', 'e', 'n', 't', 's']",tq
v,"['vo', 'i', 'a']","['v', 'i', 'a']",vo
e,"['c', 'h', 'ed', 'a', 'p']","['c', 'h', 'e', 'a', 'p']",ed
e,"['n', 'u', 'd', 'ep']","['n', 'u', 'd', 'e']",ep
i,"['k', 'id', 'd', 's']","['k', 'i', 'd', 's']",id
f,"['fi', 'i', 'n', 'a', 'n', 'c', 'e']","['f', 'i', 'n', 'a', 'n', 'c', 'e']",fi
t,"['tx', 'r', 'u', 'e']","['t', 'r', 'u', 'e']",tx
s,"['m', 'i', 'n', 'u', 't', 'e', 'sn']","['m', 'i', 'n', 'u', 't', 'e', 's']",sn
e,"['en', 'l', 's', 'en']","['e', 'l', 's', 'e']",en
a,"['m', 'aq', 'r', 'k']","['m', 'a', 'r', 'k']",aq
r,"['t', 'h', 'i', 'rm', 'd']","['t', 'h', 'i', 'r', 'd']",rm
o,"['r', 'oj', 'c', 'k']","['r', 'o', 'c', 'k']",oj
f,"['g', 'i', 'ff', 't', 's']","['g', 'i', 'f', 't', 's']",ff
p,"['e', 'u', 'r', 'o', 'pe', 'e']","['e', 'u', 'r', 'o', 'p', 'e']",pe
a,"['r', 'e', 'ac', 'd', 'i', 'n', 'g']","['r', 'e', 'a', 'd', 'i', 'n', 'g']",ac
t,"['te', 'o', 'p', 'i', 'c', 's']","['t', 'o', 'p', 'i', 'c', 's']",te
a,"['b', 'ae', 'd']","['b', 'a', 'd']",ae
l,"['i', 'n', 'd', 'i', 'v', 'i', 'd', 'u', 'a', 'lp']","['i', 'n', 'd', 'i', 'v', 'i', 'd', 'u', 'a', 'l']",lp
s,"['t', 'i', 'p', 'sn']","['t', 'i', 'p', 's']",sn
s,"['p', 'l', 'u', 'sy']","['p', 'l', 'u', 's']",sy
t,"['a', 'u', 'tt', 'o']","['a', 'u', 't', 'o']",tt
r,"['c', 'o', 'v', 'e', 're']","['c', 'o', 'v', 'e', 'r']",re
y,"['u', 's', 'u', 'a', 'l', 'l', 'yc']","['u', 's', 'u', 'a', 'l', 'l', 'y']",yc
t,"['e', 'd', 'i', 'tx']","['e', 'd', 'i', 't']",tx
t,"['tf', 'o', 'g', 'e', 'tf', 'h', 'e', 'r']","['t', 'o', 'g', 'e', 't', 'h', 'e', 'r']",tf
i,"['v', 'ia', 'd', 'e', 'o', 's']","['v', 'i', 'd', 'e', 'o', 's']",ia
n,"['p', 'e', 'r', 'c', 'e', 'ny', 't']","['p', 'e', 'r', 'c', 'e', 'n', 't']",ny
f,"['fv', 'a', 's', 't']","['f', 'a', 's', 't']",fv
t,"['f', 'u', 'n', 'c', 'tv', 'i', 'o', 'n']","['f', 'u', 'n', 'c', 't', 'i', 'o', 'n']",tv
c,"['f', 'a', 'ck', 't']","['f', 'a', 'c', 't']",ck
t,"['u', 'n', 'i', 'td']","['u', 'n', 'i', 't']",td
t,"['g', 'e', 'ti', 'ti', 'i', 'n', 'g']","['g', 'e', 't', 't', 'i', 'n', 'g']",ti
b,"['g', 'l', 'o', 'bm', 'a', 'l']","['g', 'l', 'o', 'b', 'a', 'l']",bm
c,"['t', 'e', 'cb', 'h']","['t', 'e', 'c', 'h']",cb
m,"['mh', 'e', 'e', 't']","['m', 'e', 'e', 't']",mh
f,"['fk', 'a', 'r']","['f', 'a', 'r']",fk
e,"['ef', 'c', 'o', 'n', 'o', 'm', 'i', 'c']","['e', 'c', 'o', 'n', 'o', 'm', 'i', 'c']",ef
a,"['p', 'l', 'af', 'y', 'e', 'r']","['p', 'l', 'a', 'y', 'e', 'r']",af
c,"['p', 'r', 'o', 'j', 'e', 'ct', 't', 's']","['p', 'r', 'o', 'j', 'e', 'c', 't', 's']",ct
s,"['l', 'y', 'r', 'i', 'c', 'sg']","['l', 'y', 'r', 'i', 'c', 's']",sg
o,"['ow', 'f', 't', 'e', 'n']","['o', 'f', 't', 'e', 'n']",ow
s,"['sh', 'u', 'b', 'sh', 'c', 'r', 'i', 'b', 'e']","['s', 'u', 'b', 's', 'c', 'r', 'i', 'b', 'e']",sh
i,"['s', 'u', 'b', 'm', 'is', 't']","['s', 'u', 'b', 'm', 'i', 't']",is
n,"['g', 'e', 'r', 'm', 'a', 'nx', 'y']","['g', 'e', 'r', 'm', 'a', 'n', 'y']",nx
m,"['a', 'mg', 'o', 'u', 'n', 't']","['a', 'm', 'o', 'u', 'n', 't']",mg
t,"['w', 'a', 'tp', 'c', 'h']","['w', 'a', 't', 'c', 'h']",tp
d,"['i', 'n', 'c', 'l', 'u', 'ds', 'e', 'ds']","['i', 'n', 'c', 'l', 'u', 'd', 'e', 'd']",ds
l,"['f', 'e', 'e', 'lv']","['f', 'e', 'e', 'l']",lv
h,"['t', 'hf', 'o', 'u', 'g', 'hf']","['t', 'h', 'o', 'u', 'g', 'h']",hf
k,"['b', 'a', 'n', 'ks']","['b', 'a', 'n', 'k']",ks
s,"['r', 'i', 'sb', 'k']","['r', 'i', 's', 'k']",sb
h,"['t', 'hk', 'a', 'n', 'k', 's']","['t', 'h', 'a', 'n', 'k', 's']",hk
y,"['e', 'v', 'e', 'r', 'yg', 't', 'h', 'i', 'n', 'g']","['e', 'v', 'e', 'r', 'y', 't', 'h', 'i', 'n', 'g']",yg
a,"['d', 'e', 'at', 'l', 's']","['d', 'e', 'a', 'l', 's']",at
u,"['v', 'a', 'r', 'i', 'o', 'uh', 's']","['v', 'a', 'r', 'i', 'o', 'u', 's']",uh
d,"['w', 'o', 'r', 'db', 's']","['w', 'o', 'r', 'd', 's']",db
l,"['lj', 'i', 'n', 'u', 'x']","['l', 'i', 'n', 'u', 'x']",lj
j,"['jx', 'u', 'l']","['j', 'u', 'l']",jx
i,"['p', 'r', 'o', 'd', 'u', 'c', 't', 'iu', 'o', 'n']","['p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'o', 'n']",iu
l,"['c', 'o', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'li']","['c', 'o', 'm', 'm', 'e', 'r', 'c', 'i', 'a', 'l']",li
s,"['j', 'a', 'm', 'e', 'ss']","['j', 'a', 'm', 'e', 's']",ss
w,"['wb', 'e', 'i', 'g', 'h', 't']","['w', 'e', 'i', 'g', 'h', 't']",wb
o,"['t', 'of', 'w', 'n']","['t', 'o', 'w', 'n']",of
h,"['hu', 'e', 'a', 'r', 't']","['h', 'e', 'a', 'r', 't']",hu
e,"['a', 'd', 'v', 'ey', 'r', 't', 'i', 's', 'i', 'n', 'g']","['a', 'd', 'v', 'e', 'r', 't', 'i', 's', 'i', 'n', 'g']",ey
i,"['r', 'e', 'c', 'e', 'it', 'v', 'e', 'd']","['r', 'e', 'c', 'e', 'i', 'v', 'e', 'd']",it
e,"['c', 'h', 'o', 'o', 's', 'ex']","['c', 'h', 'o', 'o', 's', 'e']",ex
n,"['t', 'r', 'e', 'a', 't', 'm', 'e', 'nv', 't']","['t', 'r', 'e', 'a', 't', 'm', 'e', 'n', 't']",nv
n,"['nj', 'e', 'w', 's', 'l', 'e', 't', 't', 'e', 'r']","['n', 'e', 'w', 's', 'l', 'e', 't', 't', 'e', 'r']",nj
e,"['a', 'r', 'c', 'h', 'i', 'v', 'el', 's']","['a', 'r', 'c', 'h', 'i', 'v', 'e', 's']",el
o,"['p', 'oi', 'i', 'n', 't', 's']","['p', 'o', 'i', 'n', 't', 's']",oi
e,"['k', 'n', 'o', 'w', 'l', 'ee', 'd', 'g', 'ee']","['k', 'n', 'o', 'w', 'l', 'e', 'd', 'g', 'e']",ee
a,"['m', 'av', 'g', 'av', 'z', 'i', 'n', 'e']","['m', 'a', 'g', 'a', 'z', 'i', 'n', 'e']",av
e,"['em', 'r', 'r', 'o', 'r']","['e', 'r', 'r', 'o', 'r']",em
c,"['cc', 'a', 'm', 'e', 'r', 'a']","['c', 'a', 'm', 'e', 'r', 'a']",cc
j,"['jk', 'u', 'n']","['j', 'u', 'n']",jk
i,"['g', 'in', 'r', 'l']","['g', 'i', 'r', 'l']",in
t,"['c', 'u', 'r', 'r', 'e', 'n', 'tw', 'l', 'y']","['c', 'u', 'r', 'r', 'e', 'n', 't', 'l', 'y']",tw
